yellow,1,2015-12-01 00:02:51,2015-12-01 00:05:40,1,.70,-73.960525512695312,40.781223297119141,1,N,-73.971542358398438,40.786239624023438,2,4.5,0.5,0.5,0,0,0.3,5.8
yellow,2,2015-12-01 00:03:45,2015-12-01 00:05:41,1,.49,-73.989128112792969,40.742759704589844,1,N,-73.982353210449219,40.739948272705078,2,4,0.5,0.5,0,0,0.3,5.3
yellow,1,2015-12-01 00:01:09,2015-12-01 00:05:42,1,1.60,-73.989059448242188,40.763195037841797,1,N,-73.978507995605469,40.782962799072266,1,6.5,0.5,0.5,1.95,0,0.3,9.75
yellow,1,2015-12-01 00:00:18,2015-12-01 00:05:43,1,1.30,-73.989585876464844,40.739009857177734,1,N,-73.997810363769531,40.724201202392578,1,6.5,0.5,0.5,0.89,0,0.3,8.69
yellow,2,2015-12-01 00:03:25,2015-12-01 00:05:43,2,.32,-73.991981506347656,40.716121673583984,1,N,-73.990547180175781,40.713310241699219,1,3.5,0.5,0.5,0.96,0,0.3,5.76
yellow,1,2015-12-01 00:00:38,2015-12-01 00:05:46,1,.40,-73.998893737792969,40.732349395751953,1,N,-74.003768920898438,40.73638916015625,2,5,0.5,0.5,0,0,0.3,6.3
green,2,2015-12-01 00:02:28,2015-12-01 00:05:46,N,1,-73.945503234863281,40.807899475097656,-73.958213806152344,40.804843902587891,1,1.01,5,0.5,0.5,0,0,,0.3,6.3,2,1
yellow,1,2015-12-01 00:00:23,2015-12-01 00:05:47,4,.90,-73.9952392578125,40.7496337890625,1,N,-73.9862060546875,40.759124755859375,1,5.5,0.5,0.5,1.35,0,0.3,8.15
yellow,2,2015-12-01 00:02:11,2015-12-01 00:05:47,1,.79,-73.98876953125,40.737213134765625,1,N,-73.991729736328125,40.731117248535156,1,5,0.5,0.5,1.26,0,0.3,7.56
yellow,1,2015-12-01 00:00:06,2015-12-01 00:05:48,1,1.80,-73.988410949707031,40.764423370361328,1,N,-73.993782043457031,40.743404388427734,1,7,0.5,0.5,2.05,0,0.3,10.35
yellow,2,2015-12-01 00:01:58,2015-12-01 00:05:48,4,1.10,-73.970283508300781,40.793983459472656,1,N,-73.95355224609375,40.787982940673828,1,5.5,0.5,0.5,1.36,0,0.3,8.16
yellow,2,2015-12-01 00:04:00,2015-12-01 00:05:49,3,.55,-73.960289001464844,40.703426361083984,1,N,-73.963920593261719,40.708709716796875,2,4,0.5,0.5,0,0,0.3,5.3
yellow,2,2015-12-01 00:01:32,2015-12-01 00:05:50,1,.65,-73.986763000488281,40.741718292236328,1,N,-73.980361938476562,40.744327545166016,2,5,0.5,0.5,0,0,0.3,6.3
green,2,2015-12-01 00:01:31,2015-12-01 00:05:50,N,1,-73.921394348144531,40.766666412353516,-73.907600402832031,40.766063690185547,1,1.04,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
yellow,1,2015-12-01 00:00:05,2015-12-01 00:05:51,1,1.00,-73.995765686035156,40.743789672851562,1,N,-74.00262451171875,40.730545043945313,1,6,0.5,0.5,2.15,0,0.3,9.45
green,2,2015-12-01 00:02:19,2015-12-01 00:05:51,N,1,-73.950531005859375,40.714035034179688,-73.940071105957031,40.713962554931641,1,.89,5,0.5,0.5,1,0,,0.3,7.3,1,1
yellow,1,2015-12-01 00:00:25,2015-12-01 00:05:52,1,2.90,-73.992202758789063,40.763969421386719,1,N,-73.972221374511719,40.796474456787109,1,10,0.5,0.5,1,0,0.3,12.3
yellow,2,2015-12-01 00:00:40,2015-12-01 00:05:54,1,.75,-73.98809814453125,40.738540649414062,1,N,-73.975456237792969,40.733089447021484,1,5.5,0.5,0.5,1.36,0,0.3,8.16
yellow,2,2015-12-01 00:03:45,2015-12-01 00:05:55,3,.40,-73.9720458984375,40.794273376464844,1,N,-73.968086242675781,40.792091369628906,2,3.5,0.5,0.5,0,0,0.3,4.8
yellow,1,2015-12-01 00:00:01,2015-12-01 00:05:56,1,1.20,-73.993934631347656,40.741683959960937,1,N,-73.997665405273438,40.747467041015625,1,6.5,0.5,0.5,0.2,0,0.3,8
green,2,2015-12-01 00:03:53,2015-12-01 00:05:57,N,1,-73.939781188964844,40.794231414794922,-73.945175170898437,40.784496307373047,1,.80,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
green,2,2015-12-01 00:02:24,2015-12-01 00:05:58,N,1,-73.955802917480469,40.714015960693359,-73.943336486816406,40.717506408691406,1,.73,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
green,2,2015-12-01 00:00:07,2015-12-01 00:05:58,N,1,-73.9444580078125,40.714614868164062,-73.962089538574219,40.715816497802734,1,1.17,6,0.5,0,0,0,,0,6.5,2,2
